ID,LONGDIST,International,LOCAL,DROPPED,PAY_MTHD,LocalBillType,LongDistanceBillType,AGE,SEX,STATUS,CHILDREN,Est_Income,Car_Owner,CHURNED,train
0,5.246400,7.515100,86.327800,0,'CH','FreeLocal','Standard',57,'F','M',2,27535.300000,'Y','Vol',1
3,0.000000,0.000000,3.942290,0,'CC','Budget','Intnl_discount',50,'F','S',2,64632.300000,'N','InVol',2
4,5.555640,0.000000,9.363470,1,'CC','Budget','Intnl_discount',68,'F','M',2,81000.900000,'N','Vol',1
8,14.019300,5.680430,29.806500,0,'CC','Budget','Standard',34,'M','S',0,87467.100000,'Y','Current',1
10,13.664000,2.956420,32.638100,0,'CC','FreeLocal','Intnl_discount',60,'M','M',2,83220.600000,'N','Vol',1
11,0.000000,0.000000,1.412940,0,'CC','FreeLocal','Standard',84,'F','S',0,50290.700000,'N','InVol',3
13,0.281029,0.000000,8.536920,0,'CH','Budget','Intnl_discount',28,'F','M',2,20850.400000,'N','Vol',1
17,1.577000,0.000000,19.980800,0,'CC','FreeLocal','Standard',52,'M','S',0,84112.600000,'N','Current',1
19,11.030700,0.000000,34.277700,0,'CC','Budget','Standard',87,'F','S',2,3776.120000,'N','Vol',3
20,0.452629,0.000000,73.012200,0,'Auto','FreeLocal','Standard',88,'F','M',2,73865.900000,'Y','Vol',1
22,3.728830,0.000000,18.847400,0,'Auto','FreeLocal','Standard',76,'M','M',2,30933.600000,'Y','Current',1
23,20.294600,0.000000,76.051800,0,'CC','FreeLocal','Standard',76,'F','M',1,12309.600000,'N','Vol',2
26,10.370100,2.152790,24.668300,0,'CH','FreeLocal','Standard',87,'M','S',0,69864.000000,'N','Vol',2
28,20.268500,0.000000,102.864000,0,'CH','Budget','Intnl_discount',90,'F','M',0,91620.600000,'N','Current',3
30,25.527800,0.746981,5.185710,0,'CC','Budget','Standard',62,'M','S',0,96501.900000,'Y','Current',3
31,26.495200,0.000000,31.084700,0,'CC','FreeLocal','Intnl_discount',81,'M','S',1,3968.540000,'N','Current',2
32,8.082110,0.000000,10.585800,0,'CH','Budget','Standard',50,'F','M',2,13774.200000,'N','Vol',1
33,2.945830,0.261446,77.238000,0,'CH','FreeLocal','Standard',48,'M','S',2,39428.200000,'N','Current',1
40,24.345600,0.000000,62.826000,0,'CC','Budget','Standard',37,'F','S',2,4988.140000,'N','Current',1
42,8.864990,4.436760,43.643900,0,'CH','Budget','Intnl_discount',55,'M','S',2,85753.800000,'N','Vol',2
49,26.862400,0.000000,15.492200,0,'CC','FreeLocal','Intnl_discount',21,'M','M',2,23564.100000,'N','Vol',3
55,17.208500,8.941920,138.045000,0,'CC','FreeLocal','Intnl_discount',42,'M','S',0,37661.000000,'N','Current',3
59,24.578100,0.000000,80.746600,0,'Auto','FreeLocal','Standard',71,'M','M',2,99064.000000,'N','Current',1
64,21.502100,0.000000,47.219600,0,'CC','FreeLocal','Standard',94,'F','M',0,87251.800000,'Y','Vol',1
65,9.703140,1.202740,12.182400,0,'CC','Budget','Standard',33,'F','M',0,2974.760000,'Y','Vol',3
69,0.000000,0.000000,4.619500,0,'CC','FreeLocal','Standard',21,'M','S',0,23893.900000,'N','InVol',2
71,0.000000,0.000000,2.362230,0,'CC','Budget','Standard',81,'M','M',0,23289.700000,'N','InVol',1
72,27.331700,0.000000,23.860200,0,'Auto','FreeLocal','Intnl_discount',86,'F','S',2,92885.900000,'N','Current',3
73,6.671470,0.000000,77.251500,0,'Auto','FreeLocal','Standard',54,'M','M',2,11676.200000,'N','Current',3
78,13.644200,0.000000,19.546400,1,'Auto','FreeLocal','Standard',19,'F','M',0,27842.100000,'N','Vol',2
80,20.568800,3.274430,23.342000,0,'CC','Budget','Standard',18,'F','M',1,9925.680000,'N','Vol',3
83,0.000000,0.000000,0.353182,0,'CC','Budget','Standard',63,'M','M',1,9049.570000,'N','InVol',3
84,12.290000,7.800390,47.458400,1,'CC','Budget','Standard',75,'M','M',2,17562.900000,'Y','Current',2
89,17.413300,0.000000,28.130200,0,'CC','Budget','Standard',62,'M','M',0,50676.000000,'N','Current',2
92,4.718520,0.000000,57.774600,0,'Auto','FreeLocal','Standard',23,'F','S',2,8383.470000,'Y','Vol',1
96,2.648290,0.000000,24.754700,0,'CC','Budget','Standard',57,'M','M',0,28128.400000,'N','Current',2
100,21.912100,6.708280,27.002900,0,'CC','Budget','Intnl_discount',52,'M','S',0,88413.400000,'Y','Vol',3
101,2.421640,9.186860,41.166100,0,'CH','Budget','Intnl_discount',48,'M','S',0,81420.000000,'N','Vol',1
102,16.068600,1.536420,130.352000,0,'CC','Budget','Standard',77,'F','M',2,37155.000000,'Y','Vol',1
104,8.758400,0.000000,112.637000,0,'CC','Budget','Intnl_discount',61,'M','M',1,85927.700000,'N','Current',3
116,1.875570,0.000000,50.856900,3,'CC','Budget','Standard',25,'F','M',0,38950.500000,'N','Vol',3
117,18.324200,5.678370,31.279100,0,'CC','FreeLocal','Standard',56,'M','S',0,44143.100000,'N','Vol',2
122,17.788200,0.000000,15.661000,0,'CC','Budget','Standard',45,'M','M',1,39378.900000,'N','Current',1
125,1.133690,4.697250,57.623000,0,'Auto','Budget','Standard',59,'F','S',1,69454.600000,'Y','Vol',2
130,0.000000,0.000000,1.065640,0,'CC','FreeLocal','Standard',78,'F','S',2,74392.100000,'N','Current',3
137,19.190600,3.617800,72.744900,0,'CC','Budget','Standard',21,'F','M',2,75323.400000,'N','Current',1
144,11.271200,0.000000,52.739000,0,'CC','Budget','Standard',62,'M','M',2,94092.600000,'N','Current',1
145,17.846700,8.795010,12.612700,0,'CC','FreeLocal','Standard',32,'M','S',1,63769.700000,'Y','Vol',3
149,8.621880,0.000000,8.489600,0,'CH','Budget','Standard',43,'M','M',0,33935.800000,'Y','Current',3
154,17.623600,6.412900,116.805000,0,'CC','FreeLocal','Standard',32,'F','M',2,18913.200000,'N','Vol',3
155,0.746339,2.931530,18.902800,0,'CC','FreeLocal','Standard',20,'M','M',1,99398.100000,'N','Vol',2
158,0.000000,0.000000,0.721981,0,'CH','FreeLocal','Standard',67,'F','M',0,87765.200000,'N','InVol',2
160,4.955450,0.000000,30.898400,3,'CH','FreeLocal','Standard',83,'F','S',1,96112.100000,'Y','Vol',2
170,0.000000,0.000000,3.091530,0,'Auto','FreeLocal','Intnl_discount',46,'F','M',0,46734.500000,'N','Vol',2
172,21.825200,0.000000,69.003700,0,'CC','FreeLocal','Standard',66,'M','S',0,80025.300000,'Y','Current',3
173,8.494290,0.000000,50.033600,0,'Auto','Budget','Standard',42,'F','S',2,49776.200000,'Y','Vol',3
174,11.064300,0.000000,40.821900,0,'CC','Budget','Standard',27,'M','S',2,4335.860000,'N','Vol',3
177,16.460700,0.000000,57.656900,0,'CC','FreeLocal','Intnl_discount',93,'F','S',0,74912.100000,'Y','Vol',3
178,0.000000,0.000000,3.823460,0,'CC','FreeLocal','Intnl_discount',19,'F','S',1,44566.600000,'Y','InVol',3
179,20.700200,0.000000,20.055800,0,'CC','Budget','Standard',93,'M','M',1,25949.000000,'N','Current',1
180,26.671700,0.000000,71.982800,0,'CC','Budget','Standard',73,'F','M',0,76660.700000,'N','Current',3
181,14.465500,0.000000,69.296000,0,'CC','FreeLocal','Standard',48,'M','M',0,58764.700000,'Y','Current',3
187,7.665460,0.000000,83.077600,0,'Auto','FreeLocal','Standard',47,'M','M',2,90070.500000,'N','Current',1
188,25.306400,0.000000,51.615800,0,'CC','Budget','Intnl_discount',94,'F','M',2,38925.500000,'N','Current',2
195,5.022060,0.000000,29.804600,0,'CC','Budget','Standard',20,'M','S',2,9431.040000,'N','Vol',3
197,21.403200,0.000000,14.448600,0,'CH','Budget','Standard',32,'M','M',0,38038.700000,'Y','Current',3
198,4.996310,0.682405,56.109800,0,'CC','Budget','Intnl_discount',19,'F','S',0,50290.700000,'N','Vol',3
199,24.053400,0.000000,17.697600,0,'CH','FreeLocal','Standard',78,'F','S',1,88990.600000,'Y','Vol',1
201,22.900100,0.000000,22.705200,1,'CH','Budget','Intnl_discount',36,'F','M',1,5283.200000,'N','Current',2
202,18.884700,0.000000,96.298000,0,'CH','FreeLocal','Standard',79,'M','M',1,37571.100000,'N','Current',1
206,5.357320,0.000000,27.142700,0,'CC','Budget','Standard',23,'F','M',1,22767.000000,'Y','Vol',3
