"row ID","Col0","Col1","Col2","Col3","Col4","Col5","Col6","Col7","Col8","Col9","Col10","Col11","Col12","Col13","Col14","Col15","Col16","Col17","Col18"
"Row0",0.478261,0.576923,0.597222,0.323144,0.274725,0.150943,0.326797,0.457143,0.25,0.585714,0.242105,0.233813,0.471698,0.144737,0.272727,0.390244,0.366667,0.533333,"van"
"Row1",0.391304,0.307692,0.611111,0.161572,0.10989,0.132075,0.24183,0.542857,0.166667,0.357143,0.210526,0.17506,0.308176,0.171053,0.409091,0.341463,0.433333,0.6,"van"
"Row2",0.673913,0.653846,0.916667,0.458515,0.208791,0.150943,0.620915,0.171429,0.5,0.571429,0.489474,0.540767,0.698113,0.184211,0.636364,0.219512,0.4,0.5,"saab"
"Row3",0.434783,0.307692,0.583333,0.240175,0.175824,0.132075,0.20915,0.571429,0.166667,0.357143,0.157895,0.14988,0.113208,0.0526316,0.272727,0.243902,0.766667,0.866667,"van"
"Row4",0.26087,0.423077,0.416667,0.441048,0.615385,0.943396,0.24183,0.542857,0.166667,0.371429,0.584211,0.169065,0.496855,0.894737,0.409091,0.268293,0.133333,0.0666667,"bus"
"Row5",0.73913,0.923077,0.916667,0.296943,0.032967,0.0754717,0.934641,0.0,0.916667,0.728571,0.789474,0.926859,0.974843,0.342105,0.227273,0.219512,0.166667,0.0666667,"bus"
"Row6",0.521739,0.384615,0.458333,0.30131,0.197802,0.0754717,0.267974,0.457143,0.166667,0.357143,0.242105,0.21223,0.396226,0.0921053,0.590909,0.0243902,0.8,0.766667,"bus"
"Row7",0.369565,0.384615,0.361111,0.231441,0.197802,0.132075,0.163399,0.628571,0.0833333,0.4,0.168421,0.116307,0.345912,0.105263,0.136364,0.0731707,0.566667,0.7,"van"
"Row8",0.282609,0.0384615,0.305556,0.157205,0.153846,0.0943396,0.0653595,0.8,0.0,0.128571,0.0578947,0.0467626,0.0188679,0.0657895,0.0909091,0.341463,0.8,0.9,"van"
"Row9",0.434783,0.423077,0.805556,0.406114,0.164835,0.169811,0.464052,0.285714,0.416667,0.4,0.378947,0.384892,0.27044,0.0657895,0.181818,0.341463,0.633333,0.766667,"saab"
"Row10",0.282609,0.115385,0.416667,0.170306,0.153846,0.132075,0.137255,0.685714,0.0833333,0.171429,0.121053,0.0983213,0.113208,0.0921053,0.0909091,0.243902,0.6,0.7,"van"
"Row11",0.369565,0.0384615,0.361111,0.139738,0.0879121,0.0754717,0.0718954,0.8,0.0,0.0,0.0947368,0.0479616,0.0566038,0.0789474,0.227273,0.634146,0.666667,0.7,"saab"
"Row12",0.326087,0.5,0.472222,0.292576,0.230769,0.0754717,0.261438,0.485714,0.166667,0.428571,0.263158,0.197842,0.522013,0.157895,0.227273,0.268293,0.433333,0.466667,"bus"
